address,area_ft,bath_full,bath_half,beds,built_year,city,days_on_market,lot_ft,price_ft,property_type,school1,school2,school3,sold_date,sold_price,state,zip_code
"5844 Paddon Cir,","1,846",2,,4,1968,San Jose,45,"6,300",607,Single Family Home,7,8,6,13-Aug-18,1120000,CA,95123
"5842 Comanche Dr,","1,208",2,,3,1966,San Jose,61,"6,200",786,Single Family Home,6,8,2,19-Sep-18,950000,CA,95123
"5838 Halleck Dr,","1,089",1,1,3,1971,San Jose,36,"6,000",992,Single Family Home,4,6,NR,19-Jun-18,1080000,CA,95123
"5837 Embee Dr,","2,008",3,,4,1967,San Jose,,"6,000",473,Single Family Home,5,7,6,20-Jul-18,950000,CA,95123
"5828 Recife Way,","1,858",2,,3,1971,San Jose,44,"8,050",727,Single Family Home,9,6,8,2-Aug-18,1350000,CA,95120
"5828 Chesbro Ave,","1,516",2,,4,1963,San Jose,41,"7,020",620,Single Family Home,4,6,NR,26-Jun-18,940000,CA,95123
"5820 Firestone Ct,","3,014",4,,4,1998,San Jose,48,"8,729",597,Single Family Home,9,9,8,30-Jul-18,1798000,CA,95138
"582 Manzana Pl,","1,336",2,,1,2004,San Jose,,"1,080",621,Condo/Townhome/Row Home/Co-Op,3,3,3,18-Oct-18,830000,CA,95112
"5810 Killarney Cir,","1,875",2,,3,1996,San Jose,,"5,000",760,Single Family Home,9,9,8,11-Oct-18,1425000,CA,95138
"5808 Firestone Ct,","2,695",3,,4,1998,San Jose,43,"8,207",640,Single Family Home,9,9,8,24-Aug-18,1725000,CA,95138
"580 Edelweiss Dr,","1,424",2,,3,1969,San Jose,25,"7,811",667,Single Family Home,7,5,5,16-Jul-18,950000,CA,95136
"580 Crystalberry Ter,","1,408",2,1,4,1972,San Jose,41,"1,386",866,Condo/Townhome/Row Home/Co-Op,6,7,10,19-Jul-18,1220000,CA,95129
"5792 Comanche Dr,","1,173",2,,3,1965,San Jose,34,"6,528",780,Single Family Home,6,8,2,9-Jul-18,915000,CA,95123
"5791 Ponce Ct,","1,966",2,,4,1971,San Jose,15,"8,268",706,Single Family Home,9,6,8,30-Oct-18,1388000,CA,95120
"579 Mill Pond Dr,","1,536",2,,2,1979,San Jose,57,,195,Mfd/Mobile Home,8,6,6,19-Jul-18,300000,CA,95125
"5770 Winfield Blvd Spc 145,","1,650",2,,3,2017,San Jose,61,,267,Mfd/Mobile Home,4,6,8,20-Aug-18,439900,CA,95123
"5770 Winfield Blvd Spc 12,","1,708",2,,3,2002,San Jose,54,,212,Mfd/Mobile Home,4,6,8,11-Sep-18,362500,CA,95123
"577 Groth Dr,","1,392",2,1,4,1982,San Jose,29,732,435,Condo/Townhome/Row Home/Co-Op,2,3,6,6-Sep-18,605000,CA,95111
"576 Giuffrida Ave Apt 16,","1,320",2,1,3,1981,San Jose,50,610,563,Condo/Townhome/Row Home/Co-Op,4,8,6,8-Aug-18,743000,CA,95123
"575 Easton Dr,","1,298",2,,3,1985,San Jose,,"4,800",647,Single Family Home,3,4,1,10-Oct-18,840000,CA,95133
"574 Rutland Ave,",978,1,,2,1939,San Jose,37,"5,000",973,Single Family Home,5,5,5,16-Jul-18,951568,CA,95128
"5715 Hillbright Cir,","1,409",2,,3,1968,San Jose,51,"6,000",763,Single Family Home,7,8,NR,19-Jul-18,1075000,CA,95123
